আওয়ামী_লীগ,11527
হাজার_টাকা,4311
নির্বাচন_কমিশন,4301
কোটি_টাকা,4251
কোটি_লাখ,4178
বেশির_ভাগ,4080
হাজার_কো,4052
সংবাদ_সম্মেলন,3997
লাখ_হাজ,3917
বাংলাদেশ_ব্যাংক,3876
দশমিক_শতাংশ,3172
ঘটনা_ঘট,2727
সারা_দেশ,2721
কথা_বল,2652
প্রধানমন্ত্রী_শেখ,2606
বছর_বয়সী,2590
লাখ_টাকা,2578
পাঁচ_বছর,2528
খালেদা_জিয়া,2398
ওয়েস্ট_ইন্ডিজ,2370
সিটি_করপোরেশন,2344
ঢাকা_বিশ্ববিদ্যালয়,2224
নেতা_কর্মী,2186
খালেদা_জিয়,2165
দায়িত্ব_পালন,2076
আইনশৃঙ্খলা_রক্ষাকারী,2054
চলতি_বছর,2028
তিন_বছর,1944
পরিবারের_সদস্য,1919
জাতীয়_দল,1916
কোটি_টাক,1732
ধীরে_ধীর,1634
চেষ্টা_করুন,1629
শেখ_হাসিনা,1624
হাজার_হাজ,1561
সুপ্রিম_কোর্ট,1560
মোবাইল_ফোন,1542
দেশের_মানুষ,1531
কলেজ_হাসপাতাল,1518
সমস্যার_সমাধান,1494
প্রশ্নের_জবাব,1489
রাজনৈতিক_দল,1484
তিন_মাস,1476
ব্যবস্থাপনা_পরিচালক,1466
গতকাল_মঙ্গলব,1436
আজকের_দিন,1435
আশা_কর,1416
এসব_কথা,1411
কেন্দ্রীয়_ব্যাংক,1405
সামাজিক_যোগাযোগমাধ্যম,1401
থানার_ভারপ্রাপ্ত,1381
চার_বছর,1368
সাকিব_হাসান,1347
প্রধান_নির্বাহী,1326
ঢাকা_বিশ্ববিদ্যাল,1325
বছর_বয়স,1300
ভালো_লাগ,1274
দক্ষিণ_আফ্রিকা,1271
কর্মকর্তা_ওসি,1248
গতকাল_বৃহস্পতিব,1243
বিরোধী_দল,1243
ছড়িয়ে_পড়,1235
হিসেবে_কাজ,1217
দক্ষিণ_আফ্রিক,1213
আওয়ামী_লীগ,1209
শাকিব_খান,1205
প্রধান_বিচারপতি,1201
জাতীয়_সংসদ,1190
গতকাল_সোমব,1186
ঢাকা_মেডিক,1182
গতকাল_বুধব,1165
সালমান_খান,1160
নজরুল_ইসলাম,1158
চলতি_অর্থবছর,1128
মিজানুর_রহমান,1126
বিএনপির_নেতা,1125
সৌদি_আরব,1125
গতকাল_শনিব,1120
শুভ_সংখ্যা,1103
জেলা_প্রশাসক,1097
কালের_কণ্ঠ,1081
আপিল_বিভাগ,1074
বিচার_বিভাগ,1065
কাজ_শেষ,1061
উঠে_এস,1054
অংশ_হিসেব,1054
বঙ্গবন্ধু_শেখ,1046
খুঁজে_ব,1031
জাতীয়_পার্,1018
বিবাহিত_জীবন,1009
উইকেটে_রান,1005
পরবর্তী_সম,1004
ভূমিকা_পালন,1003
সারা_বিশ্ব,996
সৌদি_আর,992
নির্বাহী_পরিচালক,991
টেবিল_চামচ,989
স্থানীয়_সরক,983
সালের_ডিসেম্বর,976
বয়স_বছর,973
কোটি_ডল,969
অংশ_ন,958
গতকাল_রোবব,958
সামাজিক_যোগাযোগ,956
ঢাকা_মহানগর,951
চরিত্রে_অভিন,945
সোশ্যাল_মিডিয়া,944
চেষ্টা_কর,941
লাখ_লাখ,937
ছোট_ছোট,936
গতকাল_শুক্রব,934
ঢাকা_স্টক,933
চার_ছক্কা,925
ভূমিকা_রাখ,923
তৈরি_পোশাক,923
মেডিকেল_কলেজ,917
নারী_পুরুষ,913
তামিম_ইকবাল,907
মির্জা_ফখরুল,907
ওপর_নির্ভর,901
চ্যাম্পিয়নস_লিগ,899
মানসিক_চাপ,896
রানে_উইকেট,893
সালের_জানুয়ারি,889
বিশ্বের_দেশ,884
নাম_প্রকাশ,881
নিজ_নিজ,877
মুজিবুর_রহমান,868
বিরুদ্ধে_মামলা,864
রিয়াল_মাদ্রিদ,862
সমস্যা_সমাধান,862
